,address,name,company,salary,type,edubg,experience,welfareNum
2092, 南京 ,养生技师高薪+提成福利好, 南京市建邺区羲止方庭养生馆 ,面议,按摩师,不限,6-7年,4
2093, 开发区 ,房产销售5K加社保与提成, 房友地产 ,8000-12000元/月,房产店长/经理,高中,不限,5
2094, 江宁区 ,6千搬运工可大龄包吃住。, 南京顶益食品有限公司 ,3800-6200元/月,装卸/搬运工,不限,不限,5
2095, 南京 ,均薪1万2包住+影楼销售, 南京圣蒂娅婚纱摄影有限公司 ,8000-12000元/月,汽车销售,大专,3-5年,4
2096, 晓庄 ,邦奇变速箱8h五险一金, 溢泰环保 ,3500-5500元/月,操作工,不限,不限,5
2097, 浦口区 ,一手楼盘#诚聘置业顾问, 南京承美 ,12000-20000元/月,置业顾问,不限,不限,5
2098, 江宁区 ,月入上万+名企+免费培训, 南京仙龙人力资源有限公司 ,6500-10000元/月,学徒工,不限,不限,5
2099, 江宁区 ,月入上万+名企+免费培训, 南京仙龙人力资源有限公司 ,6500-10000元/月,学徒工,不限,不限,5
2100, 江宁区 ,8K随车员+可学徒+食宿, 南京瀚宇彩欣科技有限责任公司 ,5800-8000元/月,物流专员/助理,不限,不限,5
2101, 栖霞区 ,LG+食宿+五险一金, 韩国LG 商事有限公司南京代… ,3800-6000元/月,普工,不限,不限,5
2102, 大行宫 ,办公室文员/招聘专员, 南京和房网络科技有限公司 ,3500-4000元/月,文员,大专,1-2年,5
2103, 江宁区 ,福利丨轻松岗位马上招满, 南京瀚宇彩欣科技有限责任公司 ,5000-8000元/月,普工,不限,不限,5
2104, 浦口区 ,桥北沃尔玛招聘面包师, 沃尔玛（中国）投资有限公司 ,面议,西点师,高中,不限,3
2105, 迈皋桥 ,一份挣钱的工作, 腾邦地产 ,4000-8000元/月,电话销售,不限,不限,5
2106, 迈皋桥 ,房产销售招聘发单专员, 南京宁士达房产营销策划有限公司 ,3000-6000元/月,渠道专员,不限,不限,3
2107, 江宁区 ,5千电子厂可带手机T, 吉宝通讯有限公司 ,4500-6000元/月,普工,不限,不限,5
2108, 雨花台区 ,月薪5k五险住宿驻场专员, 江苏双坐标房地产顾问有限公司 ,5000-8000元/月,销售代表,不限,1年以下,4
2109, 鼓楼区 ,鲔之享日料招服务员, 南京鲔之享餐饮管理有限公司 ,3000-5000元/月,服务员,不限,不限,5
2110, 南京周边 ,店长/储备店长, 南京邻仕家超市有限公司 ,3000-4500元/月,店长/卖场经理,不限,不限,2
2111, 开发区 ,景枫店长助理, 南京果燃掂甜品店 ,4000-5000元/月,餐饮管理,高中,1-2年,3
2112, 浦口区 ,3500保底包食宿+奖金, 德居营销 ,3500-7000元/月,美发助理/学徒,不限,不限,5
2113, 奥体 ,奥体兴隆大街便利店收银员, 南京司菡酒店管理有限公司 ,3500-4000元/月,服务员,高中,不限,3
2114, 南京 ,2英华达包吃住妹子多, 英华达（南京）科技有限公司成… ,面议,普工,不限,不限,5
2115, 江宁区 ,6千后勤维护修理+包吃住, 南京飞腾电子科技有限公司 ,5000-8000元/月,电工,不限,不限,5
2116, 雨花台区 ,在线客服五险双休附带销售, 南京咏志抒怀贸易有限公司 ,5000-8000元/月,客服专员/助理,不限,不限,5
2117, 玄武周边 ,高薪#包住#招游戏咨询, 南京风起长林 ,5000-8000元/月,网络销售,不限,不限,3
2118, 玄武周边 ,5K到8K客户拓展专员, 南京风起长林 ,5000-8000元/月,客服专员/助理,不限,不限,3
2119, 江宁区 ,5千轻松生产包装质检T, 吉宝通讯有限公司 ,4500-5500元/月,普工,不限,不限,5
2120, 鼓楼区 ,鲔之享诚招女服务员, 南京鲔之享餐饮管理有限公司 ,3000-5000元/月,服务员,不限,不限,3
2121, 白下区 ,高薪诚聘电话客服, 中国平安人寿保险股份有限公司… ,5000-8000元/月,电话客服,高中,1-2年,1
2122, 尧化 ,餐饮店长, 南京江阳渔港饭店 ,8000-12000元/月,餐饮其他,不限,3-5年,2
2123, 长江路 ,五险一金底薪4K销售提成, 江苏智绿充电科技有限公司 ,3000-5000元/月,区域销售,不限,不限,5
2124, 南京 ,LG化学正式工五险一金, 乐金化学（南京)信息电子材料… ,5000-8000元/月,普工,不限,不限,5
2125, 江宁区 ,6千技工包吃包住带薪实习, 吉宝通讯（南京）有限公司 ,4500-6200元/月,普工/技工其他,不限,不限,5
2126, 鼓楼区 ,设计师实习生, 一号家居集团面对面装饰 ,2000-4000元/月,室内装潢设计,大专,不限,1
2127, 雨花台… ,高薪诚聘销售+收入过万, 南京翔韵装饰设计工程有限公司 ,10000-15000元/月,销售代表,不限,不限,5
2128, 南京 ,网络职员包食宿+五险, 南京男健医院有限公司 ,5000-8000元/月,网络销售,中专,不限,2
2129, 仙林 ,房产经纪人置业顾问高提成, 南京爱客房地产经纪有限公司 ,8000-15000元/月,置业顾问,高中,1-2年,1
2130, 秦淮区 ,双休急招微商运营, 南京本草源 ,3000-5000元/月,网店运营,不限,不限,2
2131, 茶南 ,话补+五险一金+售后专员, 南京曼塔克食品有限公司 ,面议,售前/售后服务,高中,1-2年,3
2132, 仙林 ,4k起招收无经验要求销售, 乐有家房产 ,3500-5500元/月,置业顾问,高中,不限,5
2133, 仙林 ,4000+底薪招销售代表, 乐有家房产 ,3300-5000元/月,网络销售,不限,不限,5
2134, 开发区 ,办公室6.5小时长白班, 南京加倍康生物科技有限公司 ,12000-20000元/月,电话客服,不限,不限,5
2135, 新街口 ,理财规划师, 国盛金业 ,10000-18000元/月,投资/理财顾问,不限,不限,4
2136, 赛虹桥 ,人事总监, 南京鑫银汇金融信息服务有限公司 ,3500-7000元/月,行政总监,大专,不限,5
2137, 南京 ,电话客服坐席/六险一金, 南京誉烽信和商务信息咨询有限… ,4000-6000元/月,客服专员/助理,不限,不限,5
2138, 仙林 ,栖霞马群销售代表业务员, 乐有家房产 ,4500-6000元/月,网络销售,高中,不限,5
2139, 新街口 ,急聘包厢女服务员, 南京海满牛餐饮服务有限公司 ,面议,娱乐厅服务员,不限,不限,5
2140, 白下区 ,包厢女服务员陆百+日结, 南京海满牛餐饮服务有限公司 ,面议,娱乐厅服务员,不限,不限,5
2141, 新街口 ,汽车销售(汽车之家）双休, 国盛金业 ,5000-8000元/月,汽车销售,高中,不限,4
2142, 江宁区 ,公司直聘电话销售包住, 南京万家购健康咨询有限公司 ,8000-12000元/月,电话销售,大专,不限,5
2143, 东山 ,华东专线计调, 江苏五方国际旅行社有限公司 ,3000-5000元/月,计调,大专,1-2年,3
2144, 新街口 ,口渴了茶饮（新街口）, 南京艾味塔餐饮管理有限公司 ,3000-5000元/月,销售代表,中专,不限,4
2145, 南京 ,电话客服坐席/六险一金, 南京誉烽信和商务信息咨询有限… ,4000-6000元/月,电话客服,不限,不限,5
2146, 华侨路 ,销售代表双休包住宿, 江苏华付集团 ,5000-10000元/月,销售代表,不限,不限,3
2147, 江宁区 ,人事专员/双休, 南京裕俱祥网络科技有限公司 ,3500-5000元/月,人事专员/助理,大专,1年以下,1
2148, 仙林 ,挑战高薪不甘平凡, 乐有家房产 ,4500-7000元/月,区域销售,高中,不限,5
2149, 新街口 ,高薪直聘会所女技师, 南京海满牛餐饮服务有限公司 ,8000-12000元/月,按摩师,不限,不限,5
2150, 夫子庙 ,印章公司招学徒, 领头羊财务公司 ,4000-8000元/月,平面设计,大专,1年以下,5
2151, 赛虹桥 ,渠道经理底薪+提成, 南京鑫银汇金融信息服务有限公司 ,4500-9000元/月,渠道/分销总监,不限,1-2年,5
2152, 赛虹桥 ,人事主管, 南京鑫银汇金融信息服务有限公司 ,3500-7000元/月,行政经理/主管,大专,不限,5
2153, 江宁区 ,口渴了（景枫）饮品, 南京艾味塔餐饮管理有限公司 ,3000-5000元/月,促销/导购员,中专,不限,4
2154, 龙池 ,电话客服（双休）, 南京最爱汽车服务有限公司 ,5000-8000元/月,电话销售,不限,不限,2
2155, 仙林 ,乐有家4K起+社保+高提, 乐有家房产 ,3300-4500元/月,电话销售,大专,不限,5
2156, 仙林 ,每周休息1.5天网销员, 乐有家房产 ,4500-7000元/月,网络销售,高中,不限,5
2157, 仙林 ,4500底+社保+月休6, 乐有家房产 ,4500-8500元/月,网络销售,高中,不限,5
2158, 仙林 ,公司拓展大学生就业平台, 乐有家房产 ,4500-5500元/月,商务专员,大专,不限,5
2159, 白下区 ,酒店西餐厅服务员+包食宿, 南京海满牛餐饮服务有限公司 ,3000-6000元/月,服务员,不限,不限,5
2160, 新街口 ,双休不加班的贷款专员, 南京步鑫投资管理有限公司 ,8000-12000元/月,信贷管理/资信评估,大专,不限,5
2161, 南京 ,月薪万元招销售代表, 国盛金业 ,8000-10000元/月,销售代表,不限,不限,4
2162, 东山 ,旅游专线销售顾问, 江苏五方国际旅行社有限公司 ,面议,旅游顾问,不限,不限,4
2163, 晓庄 ,法务中心客服/六险一金, 南京誉烽信和商务信息咨询有限… ,4000-6000元/月,电话客服,不限,不限,5
2164, 晓庄 ,呼叫中心客服/六险一金, 南京誉烽信和商务信息咨询有限… ,5000-8000元/月,客服专员/助理,大专,1-2年,5
2165, 鼓楼区 ,房补+高提+4500无责, 乐租蚂蚁公寓 ,5000-10000元/月,房产经纪人,大专,不限,3
2166, 雨花台区 ,文员, 瀚益祥 ,2500-3500元/月,文员,大专,不限,4
2167, 滨江开… ,招聘采购人员兼发货, 南京宁力机械制造厂 ,3000-5000元/月,采购员,大专,不限,4
2168, 南京 ,包住+五险一金+南京急招招生顾, 南京谐休教育咨询有限公司 ,5000-8000元/月,招生/课程顾问,大专,不限,4
2169, 凤凰西街 ,底薪6000诚招按摩足疗, 轻心足疗 ,7000-10000元/月,足疗师,不限,不限,3
2170, 秦淮周边 ,五险双休网约车驾驶员, 隆城 ,8000-12000元/月,班车司机,不限,不限,4
2171, 江宁区 ,6千后勤维护修理+包吃住, 南京飞腾电子科技有限公司 ,5000-8000元/月,电工,不限,不限,5
2172, 江宁区 ,福利丨轻松岗位马上招满, 南京瀚宇彩欣科技有限责任公司 ,5000-8000元/月,普工,不限,不限,5
2173, 桥北 ,五险高薪招销售人员, 南京尔海智能科技有限公司 ,5000-8000元/月,销售经理/主管,大专,1-2年,4
2174, 安德门 ,欢乐家饮料区域销售经理, 南京浩瑞酒业有限公司 ,4000-8000元/月,业务拓展经理/主管,大专,不限,4
2175, 鼓楼周边 ,人事行政专员, 中国平安人寿保险股份有限公司… ,3000-4000元/月,行政经理/主管,大专,不限,1
2176, 开发区 ,饲料操作工长白班包吃住, 南京福润德动物药业有限公司 ,3000-5000元/月,普工,不限,不限,3
2177, 桥北 ,桥北弘阳招游乐场工作人员, 南京红太阳商业大世界有限公司 ,3000-5000元/月,普工,中专,不限,5
